pokeapi_id,slug,name_en,name_ru,content_ready
1,bulbasaur,Bulbasaur,Бульбазавр,t
2,ivysaur,Ivysaur,Ивизавр,t
3,venusaur,Venusaur,Венузавр,t
4,charmander,Charmander,Чармандер,t
5,charmeleon,Charmeleon,Чармелеон,t
6,charizard,Charizard,Чаризард,t
7,squirtle,Squirtle,Сквиртл,t
8,wartortle,Wartortle,Вартортл,t
9,blastoise,Blastoise,Бластойз,t
10,caterpie,Caterpie,,f
11,metapod,Metapod,,f
12,butterfree,Butterfree,,f
13,weedle,Weedle,,f
14,kakuna,Kakuna,,f
15,beedrill,Beedrill,,f
16,pidgey,Pidgey,,f
17,pidgeotto,Pidgeotto,,f
18,pidgeot,Pidgeot,,f
19,rattata,Rattata,,f
20,raticate,Raticate,,f
21,spearow,Spearow,,f
22,fearow,Fearow,,f
23,ekans,Ekans,,f
24,arbok,Arbok,,f
25,pikachu,Pikachu,,f
26,raichu,Raichu,,f
27,sandshrew,Sandshrew,,f
28,sandslash,Sandslash,,f
29,nidoran-f,Nidoran F,,f
30,nidorina,Nidorina,,f
31,nidoqueen,Nidoqueen,,f
32,nidoran-m,Nidoran M,,f
33,nidorino,Nidorino,,f
34,nidoking,Nidoking,,f
35,clefairy,Clefairy,,f
36,clefable,Clefable,,f
37,vulpix,Vulpix,,f
38,ninetales,Ninetales,,f
39,jigglypuff,Jigglypuff,,f
40,wigglytuff,Wigglytuff,,f
41,zubat,Zubat,,f
42,golbat,Golbat,,f
43,oddish,Oddish,,f
44,gloom,Gloom,,f
45,vileplume,Vileplume,,f
46,paras,Paras,,f
47,parasect,Parasect,,f
48,venonat,Venonat,,f
49,venomoth,Venomoth,,f
50,diglett,Diglett,,f
51,dugtrio,Dugtrio,,f
52,meowth,Meowth,,f
53,persian,Persian,,f
54,psyduck,Psyduck,,f
55,golduck,Golduck,,f
56,mankey,Mankey,,f
57,primeape,Primeape,,f
58,growlithe,Growlithe,,f
59,arcanine,Arcanine,,f
60,poliwag,Poliwag,,f
61,poliwhirl,Poliwhirl,,f
62,poliwrath,Poliwrath,,f
63,abra,Abra,,f
64,kadabra,Kadabra,,f
65,alakazam,Alakazam,,f
66,machop,Machop,,f
67,machoke,Machoke,,f
68,machamp,Machamp,,f
69,bellsprout,Bellsprout,,f
70,weepinbell,Weepinbell,,f
71,victreebel,Victreebel,,f
72,tentacool,Tentacool,,f
73,tentacruel,Tentacruel,,f
74,geodude,Geodude,,f
75,graveler,Graveler,,f
76,golem,Golem,,f
77,ponyta,Ponyta,,f
78,rapidash,Rapidash,,f
79,slowpoke,Slowpoke,,f
80,slowbro,Slowbro,,f
81,magnemite,Magnemite,,f
82,magneton,Magneton,,f
83,farfetchd,Farfetchd,,f
84,doduo,Doduo,,f
85,dodrio,Dodrio,,f
86,seel,Seel,,f
87,dewgong,Dewgong,,f
88,grimer,Grimer,,f
89,muk,Muk,,f
90,shellder,Shellder,,f
91,cloyster,Cloyster,,f
92,gastly,Gastly,,f
93,haunter,Haunter,,f
94,gengar,Gengar,,f
95,onix,Onix,,f
96,drowzee,Drowzee,,f
97,hypno,Hypno,,f
98,krabby,Krabby,,f
99,kingler,Kingler,,f
100,voltorb,Voltorb,,f
101,electrode,Electrode,,f
102,exeggcute,Exeggcute,,f
103,exeggutor,Exeggutor,,f
104,cubone,Cubone,,f
105,marowak,Marowak,,f
106,hitmonlee,Hitmonlee,,f
107,hitmonchan,Hitmonchan,,f
108,lickitung,Lickitung,,f
109,koffing,Koffing,,f
110,weezing,Weezing,,f
111,rhyhorn,Rhyhorn,,f
112,rhydon,Rhydon,,f
113,chansey,Chansey,,f
114,tangela,Tangela,,f
115,kangaskhan,Kangaskhan,,f
116,horsea,Horsea,,f
117,seadra,Seadra,,f
118,goldeen,Goldeen,,f
119,seaking,Seaking,,f
120,staryu,Staryu,,f
121,starmie,Starmie,,f
122,mr-mime,Mr Mime,,f
123,scyther,Scyther,,f
124,jynx,Jynx,,f
125,electabuzz,Electabuzz,,f
126,magmar,Magmar,,f
127,pinsir,Pinsir,,f
128,tauros,Tauros,,f
129,magikarp,Magikarp,,f
130,gyarados,Gyarados,,f
131,lapras,Lapras,,f
132,ditto,Ditto,,f
133,eevee,Eevee,,f
134,vaporeon,Vaporeon,,f
135,jolteon,Jolteon,,f
136,flareon,Flareon,,f
137,porygon,Porygon,,f
138,omanyte,Omanyte,,f
139,omastar,Omastar,,f
140,kabuto,Kabuto,,f
141,kabutops,Kabutops,,f
142,aerodactyl,Aerodactyl,,f
143,snorlax,Snorlax,,f
144,articuno,Articuno,,f
145,zapdos,Zapdos,,f
146,moltres,Moltres,,f
147,dratini,Dratini,,f
148,dragonair,Dragonair,,f
149,dragonite,Dragonite,,f
150,mewtwo,Mewtwo,,f
151,mew,Mew,,f
152,chikorita,Chikorita,,f
153,bayleef,Bayleef,,f
154,meganium,Meganium,,f
155,cyndaquil,Cyndaquil,,f
156,quilava,Quilava,,f
157,typhlosion,Typhlosion,,f
158,totodile,Totodile,,f
159,croconaw,Croconaw,,f
160,feraligatr,Feraligatr,,f
161,sentret,Sentret,,f
162,furret,Furret,,f
163,hoothoot,Hoothoot,,f
164,noctowl,Noctowl,,f
165,ledyba,Ledyba,,f
166,ledian,Ledian,,f
167,spinarak,Spinarak,,f
168,ariados,Ariados,,f
169,crobat,Crobat,,f
170,chinchou,Chinchou,,f
171,lanturn,Lanturn,,f
172,pichu,Pichu,,f
173,cleffa,Cleffa,,f
174,igglybuff,Igglybuff,,f
175,togepi,Togepi,,f
176,togetic,Togetic,,f
177,natu,Natu,,f
178,xatu,Xatu,,f
179,mareep,Mareep,,f
180,flaaffy,Flaaffy,,f
181,ampharos,Ampharos,,f
182,bellossom,Bellossom,,f
183,marill,Marill,,f
184,azumarill,Azumarill,,f
185,sudowoodo,Sudowoodo,,f
186,politoed,Politoed,,f
187,hoppip,Hoppip,,f
188,skiploom,Skiploom,,f
189,jumpluff,Jumpluff,,f
190,aipom,Aipom,,f
191,sunkern,Sunkern,,f
192,sunflora,Sunflora,,f
193,yanma,Yanma,,f
194,wooper,Wooper,,f
195,quagsire,Quagsire,,f
196,espeon,Espeon,,f
197,umbreon,Umbreon,,f
198,murkrow,Murkrow,,f
199,slowking,Slowking,,f
200,misdreavus,Misdreavus,,f
201,unown,Unown,,f
202,wobbuffet,Wobbuffet,,f
203,girafarig,Girafarig,,f
204,pineco,Pineco,,f
205,forretress,Forretress,,f
206,dunsparce,Dunsparce,,f
207,gligar,Gligar,,f
208,steelix,Steelix,,f
209,snubbull,Snubbull,,f
210,granbull,Granbull,,f
211,qwilfish,Qwilfish,,f
212,scizor,Scizor,,f
213,shuckle,Shuckle,,f
214,heracross,Heracross,,f
215,sneasel,Sneasel,,f
216,teddiursa,Teddiursa,,f
217,ursaring,Ursaring,,f
218,slugma,Slugma,,f
219,magcargo,Magcargo,,f
220,swinub,Swinub,,f
221,piloswine,Piloswine,,f
222,corsola,Corsola,,f
223,remoraid,Remoraid,,f
224,octillery,Octillery,,f
225,delibird,Delibird,,f
226,mantine,Mantine,,f
227,skarmory,Skarmory,,f
228,houndour,Houndour,,f
229,houndoom,Houndoom,,f
