pokeapi_id,slug,name_en,name_ru,source_name_en
10,caterpie,Caterpie,Катерпи,Caterpie
11,metapod,Metapod,Метапод,Metapod
12,butterfree,Butterfree,Батерфри,Butterfree
13,weedle,Weedle,Видл,Weedle
14,kakuna,Kakuna,Кокон,Kakuna
15,beedrill,Beedrill,Бидрилла,Beedrill
16,pidgey,Pidgey,Пиджи,Pidgey
17,pidgeotto,Pidgeotto,Пиджеотто,Pidgeotto
18,pidgeot,Pidgeot,Пиджеот,Pidgeot
19,rattata,Rattata,Раттата,Rattata
20,raticate,Raticate,Рэтикейт,Raticate
21,spearow,Spearow,Спироу,Spearow
22,fearow,Fearow,Фироу,Fearow
23,ekans,Ekans,Иканс,Ekans
24,arbok,Arbok,Эрбок,Arbok
25,pikachu,Pikachu,Пикачу,Pikachu
26,raichu,Raichu,Райчу,Raichu
27,sandshrew,Sandshrew,Сендшру,Sandshrew
28,sandslash,Sandslash,Сендслаш,Sandslash
29,nidoran-f,Nidoran F,Нидоран♀,Nidoran♀
30,nidorina,Nidorina,Нидорина,Nidorina
31,nidoqueen,Nidoqueen,Нидоквин,Nidoqueen
32,nidoran-m,Nidoran M,Нидоран♂,Nidoran♂
33,nidorino,Nidorino,Нидорино,Nidorino
34,nidoking,Nidoking,Нидокинг,Nidoking
35,clefairy,Clefairy,Клифейри,Clefairy
36,clefable,Clefable,Клефэйбл,Clefable
37,vulpix,Vulpix,Вульпикс,Vulpix
38,ninetales,Ninetales,Найнтейлс,Ninetales
39,jigglypuff,Jigglypuff,Джигглипуф,Jigglypuff
40,wigglytuff,Wigglytuff,Вигглитуф,Wigglytuff
41,zubat,Zubat,Зубат,Zubat
42,golbat,Golbat,Голбат,Golbat
43,oddish,Oddish,Оддиш,Oddish
44,gloom,Gloom,Глум,Gloom
45,vileplume,Vileplume,Вайлплум,Vileplume
46,paras,Paras,Парас,Paras
47,parasect,Parasect,Парасект,Parasect
48,venonat,Venonat,Венонат,Venonat
49,venomoth,Venomoth,Веномот,Venomoth
50,diglett,Diglett,Диглет,Diglett
51,dugtrio,Dugtrio,Дагтрио,Dugtrio
52,meowth,Meowth,Мяут,Meowth
53,persian,Persian,Перс,Persian
54,psyduck,Psyduck,Псидак,Psyduck
55,golduck,Golduck,Голдак,Golduck
56,mankey,Mankey,Манки,Mankey
57,primeape,Primeape,Примап,Primeape
58,growlithe,Growlithe,Гроулайт,Growlithe
59,arcanine,Arcanine,Арканайн,Arcanine
60,poliwag,Poliwag,Поливаг,Poliwag
61,poliwhirl,Poliwhirl,Поливирл,Poliwhirl
62,poliwrath,Poliwrath,Поливрат,Poliwrath
63,abra,Abra,Абра,Abra
64,kadabra,Kadabra,Кадабра,Kadabra
65,alakazam,Alakazam,Алаказам,Alakazam
66,machop,Machop,Мачоп,Machop
67,machoke,Machoke,Мачок,Machoke
68,machamp,Machamp,Мачемп,Machamp
69,bellsprout,Bellsprout,Белспроут,Bellsprout
70,weepinbell,Weepinbell,Випинбел,Weepinbell
71,victreebel,Victreebel,Виктребел,Victreebel
72,tentacool,Tentacool,Тентакул,Tentacool
73,tentacruel,Tentacruel,Тентакруель,Tentacruel
74,geodude,Geodude,Джиодуд,Geodude
75,graveler,Graveler,Грэвелер,Graveler
76,golem,Golem,Голем,Golem
77,ponyta,Ponyta,Понита,Ponyta
78,rapidash,Rapidash,Рапидаш,Rapidash
79,slowpoke,Slowpoke,Слоупок,Slowpoke
80,slowbro,Slowbro,Слоубро,Slowbro
81,magnemite,Magnemite,Магнемайт,Magnemite
82,magneton,Magneton,Магнетон,Magneton
83,farfetchd,Farfetchd,Фарфечд,Farfetch'd
84,doduo,Doduo,Додуо,Doduo
85,dodrio,Dodrio,Додрио,Dodrio
86,seel,Seel,Сил,Seel
87,dewgong,Dewgong,Дьюгонг,Dewgong
88,grimer,Grimer,Граймер,Grimer
89,muk,Muk,Мак,Muk
90,shellder,Shellder,Шелдер,Shellder
91,cloyster,Cloyster,Клойстер,Cloyster
92,gastly,Gastly,Гастли,Gastly
93,haunter,Haunter,Хонтер,Haunter
94,gengar,Gengar,Генгар,Gengar
95,onix,Onix,Оникс,Onix
96,drowzee,Drowzee,Дроузи,Drowzee
97,hypno,Hypno,Гипно,Hypno
98,krabby,Krabby,Крабби,Krabby
99,kingler,Kingler,Кинглер,Kingler
100,voltorb,Voltorb,Вольторб,Voltorb
101,electrode,Electrode,Электрод,Electrode
102,exeggcute,Exeggcute,Экзегут,Exeggcute
103,exeggutor,Exeggutor,Эксегкутор,Exeggutor
104,cubone,Cubone,Кубон,Cubone
105,marowak,Marowak,Маровак,Marowak
106,hitmonlee,Hitmonlee,Хитмонли,Hitmonlee
107,hitmonchan,Hitmonchan,Хитмончан,Hitmonchan
108,lickitung,Lickitung,Ликитунг,Lickitung
109,koffing,Koffing,Кофинг,Koffing
110,weezing,Weezing,Визинг,Weezing
111,rhyhorn,Rhyhorn,Райхорн,Rhyhorn
112,rhydon,Rhydon,Райдон,Rhydon
113,chansey,Chansey,Ченси,Chansey
114,tangela,Tangela,Тангела,Tangela
115,kangaskhan,Kangaskhan,Кангасхан,Kangaskhan
116,horsea,Horsea,Хорси,Horsea
117,seadra,Seadra,Сидра,Seadra
118,goldeen,Goldeen,Голдин,Goldeen
119,seaking,Seaking,Сикинг,Seaking
120,staryu,Staryu,Старю,Staryu
121,starmie,Starmie,Старми,Starmie
122,mr-mime,Mr Mime,Майм,Mr. Mime
123,scyther,Scyther,Скайтер,Scyther
124,jynx,Jynx,Джинкс,Jynx
125,electabuzz,Electabuzz,Электабуз,Electabuzz
126,magmar,Magmar,Магмар,Magmar
127,pinsir,Pinsir,Пинсир,Pinsir
128,tauros,Tauros,Торос,Tauros
129,magikarp,Magikarp,Маджикарп,Magikarp
130,gyarados,Gyarados,Гайрадос,Gyarados
131,lapras,Lapras,Лапрас,Lapras
132,ditto,Ditto,Дитто,Ditto
133,eevee,Eevee,Эви,Eevee
134,vaporeon,Vaporeon,Вапореон,Vaporeon
135,jolteon,Jolteon,Джолтеон,Jolteon
136,flareon,Flareon,Флареон,Flareon
137,porygon,Porygon,Поригон,Porygon
138,omanyte,Omanyte,Оманайт,Omanyte
139,omastar,Omastar,Омастар,Omastar
140,kabuto,Kabuto,Кабуто,Kabuto
141,kabutops,Kabutops,Кабутопс,Kabutops
142,aerodactyl,Aerodactyl,Аэродактиль,Aerodactyl
143,snorlax,Snorlax,Снорлакс,Snorlax
144,articuno,Articuno,Артикьюно,Articuno
145,zapdos,Zapdos,Запдос,Zapdos
146,moltres,Moltres,Молтрес,Moltres
147,dratini,Dratini,Дратини,Dratini
148,dragonair,Dragonair,Драгонаир,Dragonair
149,dragonite,Dragonite,Драгонайт,Dragonite
150,mewtwo,Mewtwo,Мьюту,Mewtwo
151,mew,Mew,Мью,Mew
152,chikorita,Chikorita,Чикорита,Chikorita
153,bayleef,Bayleef,Бэйлиф,Bayleef
154,meganium,Meganium,Меганиум,Meganium
155,cyndaquil,Cyndaquil,Синдаквил,Cyndaquil
156,quilava,Quilava,Квилава,Quilava
157,typhlosion,Typhlosion,Тифложн,Typhlosion
158,totodile,Totodile,Тотодил,Totodile
159,croconaw,Croconaw,Кроконав,Croconaw
160,feraligatr,Feraligatr,Фералигатор,Feraligatr
161,sentret,Sentret,Сентрет,Sentret
162,furret,Furret,Фуррет,Furret
163,hoothoot,Hoothoot,Хутхут,Hoothoot
164,noctowl,Noctowl,Ноктоул,Noctowl
165,ledyba,Ledyba,Ледиба,Ledyba
166,ledian,Ledian,Ледиан,Ledian
167,spinarak,Spinarak,Спинарак,Spinarak
168,ariados,Ariados,Ариадос,Ariados
169,crobat,Crobat,Кробат,Crobat
170,chinchou,Chinchou,Тинтё,Chinchou
171,lanturn,Lanturn,Лантурн,Lanturn
172,pichu,Pichu,Пичу,Pichu
173,cleffa,Cleffa,Клефа,Cleffa
174,igglybuff,Igglybuff,Игглибуф,Igglybuff
175,togepi,Togepi,Тогэпи,Togepi
176,togetic,Togetic,Тогэтик,Togetic
177,natu,Natu,Нату,Natu
178,xatu,Xatu,Ксату,Xatu
179,mareep,Mareep,Мэрип,Mareep
180,flaaffy,Flaaffy,Флааффи,Flaaffy
181,ampharos,Ampharos,Амфарос,Ampharos
182,bellossom,Bellossom,Белоссом,Bellossom
183,marill,Marill,Мэрил,Marill
184,azumarill,Azumarill,Адзумэрил,Azumarill
185,sudowoodo,Sudowoodo,Судовудо,Sudowoodo
186,politoed,Politoed,Политоид,Politoed
187,hoppip,Hoppip,Хоппип,Hoppip
188,skiploom,Skiploom,Скиплум,Skiploom
189,jumpluff,Jumpluff,Джамплуф,Jumpluff
190,aipom,Aipom,Эйпом,Aipom
191,sunkern,Sunkern,Санкерн,Sunkern
192,sunflora,Sunflora,Санфлора,Sunflora
193,yanma,Yanma,Янма,Yanma
194,wooper,Wooper,Вупер,Wooper
195,quagsire,Quagsire,Квагсайр,Quagsire
196,espeon,Espeon,Эспеон,Espeon
197,umbreon,Umbreon,Умбреон,Umbreon
198,murkrow,Murkrow,Муркроу,Murkrow
199,slowking,Slowking,Слоукинг,Slowking
200,misdreavus,Misdreavus,Мисдривус,Misdreavus
201,unown,Unown,Аноун,Unown
202,wobbuffet,Wobbuffet,Воббуффет,Wobbuffet
203,girafarig,Girafarig,Жирафариж,Girafarig
204,pineco,Pineco,Пинеко,Pineco
205,forretress,Forretress,Форретресс,Forretress
206,dunsparce,Dunsparce,Дунспарс,Dunsparce
207,gligar,Gligar,Глигар,Gligar
208,steelix,Steelix,Стиликс,Steelix
209,snubbull,Snubbull,Снуббуль,Snubbull
210,granbull,Granbull,Гранбуль,Granbull
211,qwilfish,Qwilfish,Квильфиш,Qwilfish
212,scizor,Scizor,Сизор,Scizor
213,shuckle,Shuckle,Шакль,Shuckle
214,heracross,Heracross,Хиракросс,Heracross
215,sneasel,Sneasel,Снизель,Sneasel
216,teddiursa,Teddiursa,Теддиурса,Teddiursa
217,ursaring,Ursaring,Урсаринг,Ursaring
218,slugma,Slugma,Слагма,Slugma
219,magcargo,Magcargo,Магкарго,Magcargo
220,swinub,Swinub,Свинуб,Swinub
221,piloswine,Piloswine,Пилосвайн,Piloswine
222,corsola,Corsola,Корсола,Corsola
223,remoraid,Remoraid,Реморайд,Remoraid
224,octillery,Octillery,Октиллерия,Octillery
225,delibird,Delibird,Делиберд,Delibird
226,mantine,Mantine,Мантин,Mantine
227,skarmory,Skarmory,Скармори,Skarmory
228,houndour,Houndour,Хаундур,Houndour
229,houndoom,Houndoom,Хаундум,Houndoom
230,kingdra,Kingdra,Кингдра,Kingdra
231,phanpy,Phanpy,Фанпи,Phanpy
232,donphan,Donphan,Донфан,Donphan
233,porygon2,Porygon2,Поригон 2,Porygon2
234,stantler,Stantler,Стантлер,Stantler
235,smeargle,Smeargle,Смиргл,Smeargle
236,tyrogue,Tyrogue,Тирог,Tyrogue
237,hitmontop,Hitmontop,Хитмонтоп,Hitmontop
238,smoochum,Smoochum,Смучум,Smoochum
239,elekid,Elekid,Элекид,Elekid
240,magby,Magby,Магби,Magby
241,miltank,Miltank,Милтанк,Miltank
242,blissey,Blissey,Блисси,Blissey
243,raikou,Raikou,Райко,Raikou
244,entei,Entei,Энтей,Entei
245,suicune,Suicune,Суикун,Suicune
246,larvitar,Larvitar,Ларвитар,Larvitar
247,pupitar,Pupitar,Пупитар,Pupitar
248,tyranitar,Tyranitar,Тиранитар,Tyranitar
249,lugia,Lugia,Лугия,Lugia
250,ho-oh,Ho Oh,Хо-о,Ho-Oh
251,celebi,Celebi,Целеби,Celebi
252,treecko,Treecko,Трико,Treecko
253,grovyle,Grovyle,Гровайл,Grovyle
254,sceptile,Sceptile,Септайл,Sceptile
255,torchic,Torchic,Торчик,Torchic
256,combusken,Combusken,Комбаскен,Combusken
257,blaziken,Blaziken,Блейзикен,Blaziken
258,mudkip,Mudkip,Мадкип,Mudkip
259,marshtomp,Marshtomp,Марштомп,Marshtomp
260,swampert,Swampert,Свамперт,Swampert
261,poochyena,Poochyena,Пучиена,Poochyena
262,mightyena,Mightyena,Майтиена,Mightyena
263,zigzagoon,Zigzagoon,Зигзагун,Zigzagoon
264,linoone,Linoone,Лайнун,Linoone
265,wurmple,Wurmple,Вурмпл,Wurmple
266,silcoon,Silcoon,Силкун,Silcoon
267,beautifly,Beautifly,Бьютифлай,Beautifly
268,cascoon,Cascoon,Каскун,Cascoon
269,dustox,Dustox,Дастокс,Dustox
270,lotad,Lotad,Лотад,Lotad
271,lombre,Lombre,Ломбрэ,Lombre
272,ludicolo,Ludicolo,Лудиколо,Ludicolo
273,seedot,Seedot,Сидот,Seedot
274,nuzleaf,Nuzleaf,Назлиф,Nuzleaf
275,shiftry,Shiftry,Шифтри,Shiftry
276,taillow,Taillow,Тэйллоу,Taillow
277,swellow,Swellow,Свеллоу,Swellow
