pokeapi_id,pokedex_number,slug,name_en,source_url
10,10,caterpie,Caterpie,https://pokeapi.co/api/v2/pokemon-species/10/
11,11,metapod,Metapod,https://pokeapi.co/api/v2/pokemon-species/11/
12,12,butterfree,Butterfree,https://pokeapi.co/api/v2/pokemon-species/12/
13,13,weedle,Weedle,https://pokeapi.co/api/v2/pokemon-species/13/
14,14,kakuna,Kakuna,https://pokeapi.co/api/v2/pokemon-species/14/
15,15,beedrill,Beedrill,https://pokeapi.co/api/v2/pokemon-species/15/
16,16,pidgey,Pidgey,https://pokeapi.co/api/v2/pokemon-species/16/
17,17,pidgeotto,Pidgeotto,https://pokeapi.co/api/v2/pokemon-species/17/
18,18,pidgeot,Pidgeot,https://pokeapi.co/api/v2/pokemon-species/18/
19,19,rattata,Rattata,https://pokeapi.co/api/v2/pokemon-species/19/
20,20,raticate,Raticate,https://pokeapi.co/api/v2/pokemon-species/20/
21,21,spearow,Spearow,https://pokeapi.co/api/v2/pokemon-species/21/
22,22,fearow,Fearow,https://pokeapi.co/api/v2/pokemon-species/22/
23,23,ekans,Ekans,https://pokeapi.co/api/v2/pokemon-species/23/
24,24,arbok,Arbok,https://pokeapi.co/api/v2/pokemon-species/24/
25,25,pikachu,Pikachu,https://pokeapi.co/api/v2/pokemon-species/25/
26,26,raichu,Raichu,https://pokeapi.co/api/v2/pokemon-species/26/
27,27,sandshrew,Sandshrew,https://pokeapi.co/api/v2/pokemon-species/27/
28,28,sandslash,Sandslash,https://pokeapi.co/api/v2/pokemon-species/28/
29,29,nidoran-f,Nidoran F,https://pokeapi.co/api/v2/pokemon-species/29/
30,30,nidorina,Nidorina,https://pokeapi.co/api/v2/pokemon-species/30/
31,31,nidoqueen,Nidoqueen,https://pokeapi.co/api/v2/pokemon-species/31/
32,32,nidoran-m,Nidoran M,https://pokeapi.co/api/v2/pokemon-species/32/
33,33,nidorino,Nidorino,https://pokeapi.co/api/v2/pokemon-species/33/
34,34,nidoking,Nidoking,https://pokeapi.co/api/v2/pokemon-species/34/
35,35,clefairy,Clefairy,https://pokeapi.co/api/v2/pokemon-species/35/
36,36,clefable,Clefable,https://pokeapi.co/api/v2/pokemon-species/36/
37,37,vulpix,Vulpix,https://pokeapi.co/api/v2/pokemon-species/37/
38,38,ninetales,Ninetales,https://pokeapi.co/api/v2/pokemon-species/38/
